Proposta,Ano da proposta,IBGE,UF,Município,Nome da unidade,Componente,Porte,Situação no SISMOB,Data do repasse,Execução física (%) SISMOB,Data prevista de conclusão SISMOB,Dias sem monitoramento SISMOB,Data do último contato equipe PAC,Situação equipe PAC,Prioridade de contato,Ações,Quem fez o contato?,Data do contato,Execução informada pelo ente (%),Data/Previsão de conclusão informada pelo ente,Data/Previsão de inauguração informada pelo ente,Observações e problemas
08887732000124001,2024,260875,PE,Lagoa Grande,Estrategia de Saude da Familia Esf 03,Unidade Básica de Saúde,I,Em início de execução,5/2/2025,20,10/24/2026,73,,Em início de execução,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
10628610000124001,2024,260890,PE,Limoeiro,Oficina Ortopédica de Limoeiro,Oficina Ortopédica,Fixa,Em execução e conclusão,9/26/2025,33,3/31/2027,3,,Em execução e conclusão,Média,,,,,,,
10628610000125003,2025,260890,PE,Limoeiro,Unidade de Saúde da Família  Dr. Luiz Távora,Unidade Básica de Saúde,I,Em início de execução,4/8/2026,29,3/20/2027,3,,Em início de execução,Baixa,,,,,,,
07165026000124002,2024,260900,PE,Macaparana,Ubs Terra Prometida,Unidade Básica de Saúde,I,Em início de execução,7/3/2025,0,2/7/2026,19,7/3/2026,"Em execução, conclusão atrasada",Alta,"• Atualizar data de conclusão
",,,,,,
07165026000124003,2024,260900,PE,Macaparana,Ubs José Inácio,Unidade Básica de Saúde,I,Em início de execução,6/5/2025,3,7/31/2026,19,,"Em execução, conclusão atrasada",Alta,"• Atualizar data de conclusão
",,,,,,
08194799000124004,2024,260910,PE,Machados,Unidade de Saude da Familia Helio da Mota Silveira,Unidade Básica de Saúde,I,Em execução e conclusão,7/17/2025,50,10/30/2026,55,,Em execução e conclusão,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
11819732000124002,2024,260915,PE,Manari,Ubsf Antônio Tadeu Pedro Lima,Unidade Básica de Saúde,I,Em início de execução,6/2/2025,8,12/28/2026,9,7/3/2026,Em início de execução,Alta,,,,,,,
09096662000124001,2024,260930,PE,Mirandiba,Ubs de Juazeiro Grande ,Unidade Básica de Saúde,I,Em execução e conclusão,4/9/2025,99,9/30/2026,34,11/26/2025,Em funcionamento,Baixa,• Atualizar SISMOB 1 vez por mês,,,,,,
09096662000124002,2024,260930,PE,Mirandiba,Ubs Cohab,Unidade Básica de Saúde,I,Em execução e conclusão,4/9/2025,97,8/31/2026,34,7/2/2026,Em execução e conclusão,Alta,"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
• Atualizar SISMOB 1 vez por mês",,,,,,
09096662000125004,2025,260930,PE,Mirandiba,Ubs Dorinha do Posto,Unidade Básica de Saúde,I,Em início de execução,4/6/2026,15,1/25/2027,20,,Em início de execução,Baixa,,,,,,,
08560938000124001,2024,260940,PE,Moreno,Ubs Conceição,Unidade Básica de Saúde,I,Em início de execução,2/26/2026,6,12/16/2026,17,,Em início de execução,Baixa,,,,,,,
